,Ensemble ID,Uniprot ID
Tex13a,ENSMUSG00000071686,A2AFS9
Nrk,ENSMUSG00000052854,Q9R0G8
Serpina7,ENSMUSG00000031271,P61939
4930513O06Rik,ENSMUSG00000031270,Q9D549
4933428M09Rik,ENSMUSG00000042525,Q9D3X3
Mum1l1,ENSMUSG00000042515,Q4VA55
Trap1a,ENSMUSG00000051257,P19473
D330045A20Rik,ENSMUSG00000042498,Q8C779
Rnf128,ENSMUSG00000031438,Q9D304
Tbc1d8b,ENSMUSG00000042473,A3KGB4
Gm15013,ENSMUSG00000098559,0
Cldn2,ENSMUSG00000047230,O88552
Morc4,ENSMUSG00000031434,Q8BMD7
Rbm41,ENSMUSG00000031433,Q8JZV4
Nup62cl,ENSMUSG00000072944,A2AG10
Pih1h3b,ENSMUSG00000042433,Q8C6P5
Frmpd3,ENSMUSG00000042425,A0A140LIW3
Prps1,ENSMUSG00000031432,Q9D7G0
Tsc22d3,ENSMUSG00000031431,Q9Z2S7
Mid2,ENSMUSG00000000266,Q9QUS6
Eif2c5,ENSMUSG00000085146,0
Tex13,ENSMUSG00000042386,Q99MW5
Vsig1,ENSMUSG00000031430,Q9D2J4
Psmd10,ENSMUSG00000031429,Q9Z2X2
Atg4a,ENSMUSG00000079418,Q8C9S8
Col4a6,ENSMUSG00000031273,B1AVK5
Col4a5,ENSMUSG00000031274,F7CK55
Irs4,ENSMUSG00000054667,Q9Z0Y7
Gm15298,ENSMUSG00000086907,0
Gucy2f,ENSMUSG00000042282,Q5SDA5
Nxt2,ENSMUSG00000042271,Q3UNA4
Kcne1l,ENSMUSG00000090122,Q9QZ26
Acsl4,ENSMUSG00000031278,Q9QUJ7
Tmem164,ENSMUSG00000047045,Q6PHN7
Ammecr1,ENSMUSG00000042225,Q9JHT5
Chrdl1,ENSMUSG00000031283,Q920C1
Pak3,ENSMUSG00000031284,Q61036
Capn6,ENSMUSG00000067276,O35646
Dcx,ENSMUSG00000031285,O88809
A730046J19Rik,ENSMUSG00000085139,A0A1B0GSN8
Alg13,ENSMUSG00000041718,Q9D8C3
Trpc5os,ENSMUSG00000072934,Q3UHV4
Zcchc16,ENSMUSG00000071679,Q3URY0
Lhfpl1,ENSMUSG00000041700,Q80SV1
Amot,ENSMUSG00000041688,Q8VHG2
Htr2c,ENSMUSG00000041380,P34968
Lrch2,ENSMUSG00000031290,Q3UMG5
Gm15128,ENSMUSG00000095872,A2ADW8
Gm15080,ENSMUSG00000072931,A2BI02
Gm15107,ENSMUSG00000072930,B1B0X0
Gm15114,ENSMUSG00000079395,B1B0X6
Gm8334,ENSMUSG00000079374,F7CD45
Gm15127,ENSMUSG00000096834,B1AVZ5
Luzp4,ENSMUSG00000079387,B1AV09
Ott,ENSMUSG00000094885,0
Gm10439,ENSMUSG00000072923,A2AJU2
Gm15097,ENSMUSG00000094378,E9QA14
Gm15091,ENSMUSG00000095082,B1AZM2
Gm15104,ENSMUSG00000087360,0
Tmem29,ENSMUSG00000041353,A2ANF5
Apex2,ENSMUSG00000025269,Q68G58
Alas2,ENSMUSG00000025270,P08680
Pfkfb1,ENSMUSG00000025271,P70266
Tro,ENSMUSG00000025272,A2AFN3
Maged2,ENSMUSG00000025268,A2AG46
Gnl3l,ENSMUSG00000025266,Q6PGG6
Fgd1,ENSMUSG00000025265,P52734
Tsr2,ENSMUSG00000025264,Q8C8T8
Gm15138,ENSMUSG00000086286,0
Wnk3,ENSMUSG00000041245,Q80XP9
A230072E10Rik,ENSMUSG00000084771,0
Fam120c,ENSMUSG00000025262,Q8C3F2
Phf8,ENSMUSG00000041229,Q80TJ7
Huwe1,ENSMUSG00000025261,Q7TMY8
Hsd17b10,ENSMUSG00000025260,O08756
Ribc1,ENSMUSG00000025257,Q9D0B8
Smc1a,ENSMUSG00000041133,Q9CU62
Iqsec2,ENSMUSG00000041115,Q5DU25
Kdm5c,ENSMUSG00000025332,P41230
Kantr,ENSMUSG00000087403,A0A1W2P7I0
Tspyl2,ENSMUSG00000041096,Q7TQI8
Gpr173,ENSMUSG00000056679,Q6PI62
Cldn34a,ENSMUSG00000091863,G3UW52
Shroom2,ENSMUSG00000045180,A2ALU4
Gpr143,ENSMUSG00000025333,P70259
Usp51,ENSMUSG00000067215,B1AY15
Mageh1,ENSMUSG00000047238,Q9NWG9
Rragb,ENSMUSG00000041658,Q6NTA4
Klf8,ENSMUSG00000041649,Q8BLM0
Ubqln2,ENSMUSG00000050148,Q9QZM0
Cypt3,ENSMUSG00000048573,B1AY64
Kctd12b,ENSMUSG00000041633,Q8C7J6
RP23-106P7.5,ENSMUSG00000109128,0
2210013O21Rik,ENSMUSG00000086316,A0A0N4SUI7
Spin2c,ENSMUSG00000046550,Q6NVE3
Gm10057,ENSMUSG00000096867,A2BED8
Gm15140,ENSMUSG00000094592,A2BEE3
4930524N10Rik,ENSMUSG00000059663,Q9D519
Samt4,ENSMUSG00000025051,Q9D4X6
Samt2,ENSMUSG00000072888,Q497M0
Cldn34b1,ENSMUSG00000072100,B1AZQ8
Magea6,ENSMUSG00000063728,O89010
Magea3,ENSMUSG00000094196,Q6T340
Magea8,ENSMUSG00000079350,O89012
Magea2,ENSMUSG00000055746,Q9R2A2
Magea5,ENSMUSG00000079349,O89009
Cldn34b2,ENSMUSG00000057402,Q9D9N2
Sat1,ENSMUSG00000025283,P48026
Acot9,ENSMUSG00000025287,Q9R0X4
Prdx4,ENSMUSG00000025289,O08807
Ptchd1,ENSMUSG00000041552,Q14B62
Phex,ENSMUSG00000057457,P70669
Sms,ENSMUSG00000071708,P97355
Mbtps2,ENSMUSG00000046873,Q8CHX6
Smpx,ENSMUSG00000041476,Q9DC77
Cnksr2,ENSMUSG00000025658,Q80YA9
Rps6ka3,ENSMUSG00000031309,P18654
Eif1ax,ENSMUSG00000067194,Q8BMJ3
Map7d2,ENSMUSG00000041020,A2AG50
A830080D01Rik,ENSMUSG00000044150,A2AG58
Sh3kbp1,ENSMUSG00000040990,Q8R550
Map3k15,ENSMUSG00000031303,A2AQW0
Pdha1,ENSMUSG00000031299,P35486
Adgrg2,ENSMUSG00000031298,Q8CJ12
Gm15241,ENSMUSG00000087505,0
Phka2,ENSMUSG00000031295,Q8BWJ3
Ppef1,ENSMUSG00000062168,O35655
Cdkl5,ENSMUSG00000031292,Q3UTQ8
Gja6,ENSMUSG00000055691,Q6S5G4
Scml2,ENSMUSG00000000037,A0A571BDL9
Gm15262,ENSMUSG00000108981,A0A140LIQ5
Rai2,ENSMUSG00000043518,Q9QVY8
Scml1,ENSMUSG00000086540,0
Gm15205,ENSMUSG00000087146,0
Nhs,ENSMUSG00000059493,B1AV60
Reps2,ENSMUSG00000040855,Q80XA6
Rbbp7,ENSMUSG00000031353,Q60973
Txlng,ENSMUSG00000038344,Q8BHN1
Syap1,ENSMUSG00000031357,Q9D5V6
Ctps2,ENSMUSG00000031360,P70303
Rnf138rt1,ENSMUSG00000083695,Q9D9M9
Ap1s2,ENSMUSG00000031367,Q9DB50
Zrsr2,ENSMUSG00000031370,Q62377
Car5b,ENSMUSG00000031373,Q9QZA0
Siah1b,ENSMUSG00000040749,Q06985
Ace2,ENSMUSG00000015405,Q8R0I0
Bmx,ENSMUSG00000031377,P97504
Pir,ENSMUSG00000031379,Q9D711
Figf,ENSMUSG00000031380,P97946
Piga,ENSMUSG00000031381,Q64323
Asb11,ENSMUSG00000031382,Q9CQ31
Asb9,ENSMUSG00000031384,Q91ZT8
Mospd2,ENSMUSG00000061778,Q9CWP6
Fancb,ENSMUSG00000047757,Q5XJY6
Glra2,ENSMUSG00000018589,Q7TNC8
Gemin8,ENSMUSG00000040621,Q8BHE1
Gpm6b,ENSMUSG00000031342,P35803
Ofd1,ENSMUSG00000040586,Q80Z25
Trappc2,ENSMUSG00000079317,Q9CQP2
Rab9,ENSMUSG00000079316,Q9R0M6
Tceanc,ENSMUSG00000051224,Q3US16
Egfl6,ENSMUSG00000000402,Q9JJZ5
Tmsb4x,ENSMUSG00000049775,P20065
Prps2,ENSMUSG00000025742,Q9CS42
Msl3,ENSMUSG00000031358,Q9WVG9
Arhgap6,ENSMUSG00000031355,O54834
Gm15261,ENSMUSG00000087201,0
Hccs,ENSMUSG00000031352,P53702
Gm15245,ENSMUSG00000087587,0
Mid1,ENSMUSG00000035299,O70583
4933400A11Rik,ENSMUSG00000055357,Q9CR52
Gm15247,ENSMUSG00000086695,0
Gm21887,ENSMUSG00000095562,0
Gm17308,ENSMUSG00000096922,0
Zfhx4,ENSMUSG00000025255,Q9JJN2
4930555M17Rik,ENSMUSG00000093557,0
Pex2,ENSMUSG00000040374,P55098
Gm8797,ENSMUSG00000103034,A0A0A6YW67
Gm37350,ENSMUSG00000102979,0
1700008P02Rik,ENSMUSG00000069118,Q9DAJ8
Pkia,ENSMUSG00000027499,P63248
Zc2hc1a,ENSMUSG00000043542,Q8BJH1
Il7,ENSMUSG00000040329,P10168
Gm16685,ENSMUSG00000097804,0
1700010I02Rik,ENSMUSG00000100010,0
Stmn2,ENSMUSG00000027500,P55821
Gm32496,ENSMUSG00000104102,0
Hey1,ENSMUSG00000040289,Q9WV93
C230057A21Rik,ENSMUSG00000103346,0
Mrps28,ENSMUSG00000040269,Q9CY16
Tpd52,ENSMUSG00000027506,Q62393
4930539M17Rik,ENSMUSG00000103116,0
Zbtb10,ENSMUSG00000069114,E9Q8X5
C030034L19Rik,ENSMUSG00000097365,0
Zfp704,ENSMUSG00000040209,Q9ERQ3
Pag1,ENSMUSG00000027508,Q3U1F9
Fabp5,ENSMUSG00000027533,Q05816
Gm9833,ENSMUSG00000049230,0
Pmp2,ENSMUSG00000052468,P24526
Gm37389,ENSMUSG00000103124,A0A0A6YW05
Fabp9,ENSMUSG00000027528,O08716
Fabp4,ENSMUSG00000062515,P04117
Fabp12,ENSMUSG00000027530,Q9DAK4
Impa1,ENSMUSG00000027531,O55023
Slc10a5,ENSMUSG00000058921,Q5PT54
Zfand1,ENSMUSG00000039795,Q8BFR6
Chmp4c,ENSMUSG00000027536,Q9D7F7
Snx16,ENSMUSG00000027534,Q8C080
Gm2464,ENSMUSG00000102215,0
Gm38112,ENSMUSG00000102938,0
Ralyl,ENSMUSG00000039717,Q8BTF8
Slc7a12,ENSMUSG00000039710,D3YTZ6
Lrrcc1,ENSMUSG00000027550,Q69ZB0
E2f5,ENSMUSG00000027552,Q61502
1810022K09Rik,ENSMUSG00000078784,Q0VG62
Car13,ENSMUSG00000027555,Q9D6N1
Car1,ENSMUSG00000027556,P13634
Car3,ENSMUSG00000027559,P16015
Car2,ENSMUSG00000027562,P00920
A930001A20Rik,ENSMUSG00000098008,0
Gm9733,ENSMUSG00000078783,Q1AN91
Sirpb1a,ENSMUSG00000095788,A0A0A6YWR3
Sirpb1b,ENSMUSG00000095028,A0A0A6YWF8
Gm37468,ENSMUSG00000102155,0
Sirpb1c,ENSMUSG00000074677,D3YXM0
Ythdf3,ENSMUSG00000047213,Q8BYK6
Mir124-2hg,ENSMUSG00000100252,0
Cypt12,ENSMUSG00000027564,Q3MSC5
Bhlhe22,ENSMUSG00000025128,Q8C6A8
Cyp7b1,ENSMUSG00000039519,Q60991
Gm30667,ENSMUSG00000102886,0
4930433B08Rik,ENSMUSG00000102699,0
Armc1,ENSMUSG00000027599,Q9D7A8
Mtfr1,ENSMUSG00000027601,Q99MB2
Pde7a,ENSMUSG00000069094,P70453
Gm16093,ENSMUSG00000087108,0
Dnajc5b,ENSMUSG00000027606,Q9CQ94
1700064H15Rik,ENSMUSG00000082766,D3Z4D4
Trim55,ENSMUSG00000060913,G3X8Y1
4632415L05Rik,ENSMUSG00000048106,Q78IR3
Cp,ENSMUSG00000003617,Q61147
Hps3,ENSMUSG00000027615,Q91VB4
Hltf,ENSMUSG00000002428,Q6PCN7
Gyg,ENSMUSG00000019528,Q9R062
Cpa3,ENSMUSG00000001865,P15089
Cpb1,ENSMUSG00000011463,B2RS76
Agtr1b,ENSMUSG00000054988,P29755
Gm31466,ENSMUSG00000102636,0
Gm43673,ENSMUSG00000105440,0
Gm43672,ENSMUSG00000106019,0
Tbl1xr1,ENSMUSG00000027630,Q8BHJ5
4930412E21Rik,ENSMUSG00000102203,0
Naaladl2,ENSMUSG00000102758,A0A0N4SUJ3
Nlgn1,ENSMUSG00000063887,Q99K10
A830092H15Rik,ENSMUSG00000074664,Q3UUJ1
Spata16,ENSMUSG00000039335,Q8C636
Ect2,ENSMUSG00000027699,Q07139
1700125G22Rik,ENSMUSG00000097584,0
Nceh1,ENSMUSG00000027698,Q8BLF1
Tnfsf10,ENSMUSG00000039304,P50592
Fndc3b,ENSMUSG00000039286,Q6NWW9
Tmem212,ENSMUSG00000043164,Q8C6V3
Pld1,ENSMUSG00000027695,Q9Z280
Tnik,ENSMUSG00000027692,P83510
Slc2a2,ENSMUSG00000027690,P14246
1700112D23Rik,ENSMUSG00000091329,0
Eif5a2,ENSMUSG00000050192,Q8BGY2
Gm32950,ENSMUSG00000103827,0
Rpl22l1,ENSMUSG00000039221,Q9D7S7
Gm33051,ENSMUSG00000104444,0
Gm37867,ENSMUSG00000104275,0
Gm1527,ENSMUSG00000074655,Q3V0P3
Egfem1,ENSMUSG00000063600,Q8C088
Mecom,ENSMUSG00000027684,P14404
Mecomos,ENSMUSG00000085702,0
Actrt3,ENSMUSG00000037737,Q8BXF8
Mynn,ENSMUSG00000037730,Q99MD8
Lrrc34,ENSMUSG00000027702,Q9DAM1
Lrriq4,ENSMUSG00000027703,A6H6A4
Lrrc31,ENSMUSG00000074653,D3YY33
Gm15462,ENSMUSG00000086189,0
Samd7,ENSMUSG00000051860,Q8C8Y5
4933429H19Rik,ENSMUSG00000097786,Q9CUB5
Sec62,ENSMUSG00000027706,Q8BU14
Gpr160,ENSMUSG00000037661,Q3U3F9
Phc3,ENSMUSG00000037652,Q8CHP6
Prkci,ENSMUSG00000037643,Q62074
Skil,ENSMUSG00000027660,Q60665
Cldn11,ENSMUSG00000037625,Q60771
Slc7a14,ENSMUSG00000069072,Q8BXR1
Gm15496,ENSMUSG00000085953,0
Gm38025,ENSMUSG00000103998,0
Kcnmb2,ENSMUSG00000037610,Q9CZM9
Zmat3,ENSMUSG00000027663,O54836
Pik3ca,ENSMUSG00000027665,P42337
Kcnmb3,ENSMUSG00000091091,E9Q7U0
Zfp639,ENSMUSG00000027667,Q99KZ6
Mfn1,ENSMUSG00000027668,Q811U4
Gnb4,ENSMUSG00000027669,P29387
Actl6a,ENSMUSG00000027671,Q9Z2N8
Mrpl47,ENSMUSG00000037531,Q8K2Y7
Ndufb5,ENSMUSG00000027673,Q9CQH3
Usp13,ENSMUSG00000056900,Q5BKP2
Gm37459,ENSMUSG00000104283,0
Pex5l,ENSMUSG00000027674,Q8C437
4930419G24Rik,ENSMUSG00000087625,0
Gm43666,ENSMUSG00000104588,0
Ttc14,ENSMUSG00000027677,Q9CSP9
Ccdc39,ENSMUSG00000027676,Q9D5Y1
Gm43140,ENSMUSG00000105286,0
4930431L21Rik,ENSMUSG00000105475,0
Gm43077,ENSMUSG00000105535,0
Fxr1,ENSMUSG00000027680,Q61584
Dnajc19,ENSMUSG00000027679,Q9CQV7
Gm38505,ENSMUSG00000092196,0
Gm43208,ENSMUSG00000105577,0
Gm20515,ENSMUSG00000092242,0
Gm29135,ENSMUSG00000099437,0
Gm42695,ENSMUSG00000106525,0
Gm43207,ENSMUSG00000105222,0
Sox2,ENSMUSG00000074637,P48432
Gm3143,ENSMUSG00000105153,0
Gm43003,ENSMUSG00000105651,0
Gm6639,ENSMUSG00000105662,0
Atp11b,ENSMUSG00000037400,Q6DFW5
Dcun1d1,ENSMUSG00000027708,Q9QZ73
Gm15952,ENSMUSG00000085655,0
Mccc1,ENSMUSG00000027709,Q99MR8
Mccc1os,ENSMUSG00000086392,Q8BG57
Ccdc144b,ENSMUSG00000047696,A0A0G2JDK7
Acad9,ENSMUSG00000027710,Q8JZN5
D3Ertd254e,ENSMUSG00000033883,A0A0G2JEM5
Anxa5,ENSMUSG00000027712,P48036
1810062G17Rik,ENSMUSG00000027713,G3X8Y2
Gm11549,ENSMUSG00000085007,A0A286YD83
Exosc9,ENSMUSG00000027714,Q9JHI7
Ccna2,ENSMUSG00000027715,P51943
Bbs7,ENSMUSG00000037325,Q8K2G4
Trpc3,ENSMUSG00000027716,Q9QZC1
4932438A13Rik,ENSMUSG00000037270,A2AAE1
Gm12531,ENSMUSG00000086090,0
Adad1,ENSMUSG00000027719,Q5SUE7
Il2,ENSMUSG00000027720,P04351
Gm12532,ENSMUSG00000084754,0
Il21,ENSMUSG00000027718,Q9ES17
Cetn4,ENSMUSG00000045031,Q8K4K1
Bbs12,ENSMUSG00000051444,Q5SUD9
Fgf2os,ENSMUSG00000054779,Q8C8V2
Fgf2,ENSMUSG00000037225,P15655
Nudt6,ENSMUSG00000050174,Q8CH40
Spata5,ENSMUSG00000027722,Q3UMC0
4930594O21Rik,ENSMUSG00000085677,0
Spry1,ENSMUSG00000037211,Q9QXV9
Gm5148,ENSMUSG00000058174,Q8BGG2
Gm42921,ENSMUSG00000106441,0
Gm42920,ENSMUSG00000106008,0
Gm43536,ENSMUSG00000105516,0
Ankrd50,ENSMUSG00000044864,A6H6J9
Gm43538,ENSMUSG00000106168,0
C230034O21Rik,ENSMUSG00000086181,0
Fat4,ENSMUSG00000046743,Q2PZL6
Gm43539,ENSMUSG00000105910,0
1700017G19Rik,ENSMUSG00000037884,Q9DA88
Intu,ENSMUSG00000060798,Q059U7
Slc25a31,ENSMUSG00000069041,Q3V132
Hspa4l,ENSMUSG00000025757,P48722
Plk4,ENSMUSG00000025758,Q64702
Mfsd8,ENSMUSG00000025759,Q8BH31
Abhd18,ENSMUSG00000037818,Q8C1A9
1700034I23Rik,ENSMUSG00000074619,0
Larp1b,ENSMUSG00000025762,A0A0A6YWC2
Pgrmc2,ENSMUSG00000049940,Q80UU9
Gm16508,ENSMUSG00000106000,Q6R5E0
Gm30852,ENSMUSG00000105297,0
Gm42434,ENSMUSG00000105260,0
Platr4,ENSMUSG00000097639,0
Gm43733,ENSMUSG00000106223,0
Jade1,ENSMUSG00000025764,Q6ZPI0
Sclt1,ENSMUSG00000059834,G5E861
D3Ertd751e,ENSMUSG00000025766,Q8BGN2
Pcdh10,ENSMUSG00000049100,E9PX28
1700027H10Rik,ENSMUSG00000100799,0
Pabpc4l,ENSMUSG00000090919,A0A0A6YWT2
1700018B24Rik,ENSMUSG00000037910,Q9D2S9
Gm31415,ENSMUSG00000102263,0
Gm20557,ENSMUSG00000102679,0
Pcdh18,ENSMUSG00000037892,Q8VHR0
Slc7a11,ENSMUSG00000027737,Q9WTR6
Gm29230,ENSMUSG00000102067,0
Gm38246,ENSMUSG00000103464,0
Noct,ENSMUSG00000023087,O35710
Elf2,ENSMUSG00000037174,Q9JHC9
Gm5103,ENSMUSG00000102544,0
Mgarp,ENSMUSG00000037161,Q8VI64
Ndufc1,ENSMUSG00000037152,Q9CQY9
Naa15,ENSMUSG00000063273,Q80UM3
Rab33b,ENSMUSG00000027739,O35963
Setd7,ENSMUSG00000037111,Q8VHL1
Mgst2,ENSMUSG00000074604,A2RST1
Maml3,ENSMUSG00000061143,D4QGC2
Gm37229,ENSMUSG00000102539,0
Gm20089,ENSMUSG00000104161,0
Gm30074,ENSMUSG00000103726,0
Gm37170,ENSMUSG00000103170,0
Foxo1,ENSMUSG00000044167,Q9R1E0
Gm20402,ENSMUSG00000092405,0
Gm30173,ENSMUSG00000103965,0
Gm2447,ENSMUSG00000102785,0
Gm20750,ENSMUSG00000104401,0
Cog6,ENSMUSG00000027742,Q8R3I3
Gm42901,ENSMUSG00000104850,0
Lhfp,ENSMUSG00000048332,Q8BM86
Nhlrc3,ENSMUSG00000042997,Q8CCH2
Gm16206,ENSMUSG00000085174,0
Proser1,ENSMUSG00000049504,Q5PRE5
Stoml3,ENSMUSG00000027744,Q6PE84
Frem2,ENSMUSG00000037016,Q6NVD0
Gm43565,ENSMUSG00000105168,0
Ufm1,ENSMUSG00000027746,P61961
Trpc4,ENSMUSG00000027748,Q9QUQ5
Postn,ENSMUSG00000027750,Q62009
Gm26678,ENSMUSG00000097599,0
Supt20,ENSMUSG00000027751,Q7TT00
Exosc8,ENSMUSG00000027752,Q9D753
Alg5,ENSMUSG00000036632,Q9DB25
Smad9,ENSMUSG00000027796,Q9JIW5
Rfxap,ENSMUSG00000036615,Q8VCG9
Sertm1,ENSMUSG00000056306,Q8CD78
Ccna1,ENSMUSG00000027793,Q61456
4931419H13Rik,ENSMUSG00000106589,0
Spg20,ENSMUSG00000036580,Q8R1X6
Ccdc169,ENSMUSG00000048655,Q8BXX9
Sohlh2,ENSMUSG00000027794,Q9D489
Dclk1,ENSMUSG00000027797,Q9JLM8
Gm42609,ENSMUSG00000105975,Q8CDQ7
Gm43549,ENSMUSG00000106334,0
Nbea,ENSMUSG00000027799,Q9EPN1
Gm43376,ENSMUSG00000104677,0
Tm4sf1,ENSMUSG00000027800,Q64302
Tm4sf4,ENSMUSG00000027801,Q91XD3
Wwtr1,ENSMUSG00000027803,Q9EPK5
Commd2,ENSMUSG00000036513,Q8BXC6
Ankub1,ENSMUSG00000074591,Q3UUE9
Rnf13,ENSMUSG00000036503,O54965
Pfn2,ENSMUSG00000027805,Q9JJV2
Gm42512,ENSMUSG00000105003,0
4921539H07Rik,ENSMUSG00000104586,0
1700007F19Rik,ENSMUSG00000100666,0
Tsc22d2,ENSMUSG00000027806,A0A0G2JFL0
Serp1,ENSMUSG00000027808,Q9Z1W5
Eif2a,ENSMUSG00000027810,Q8BJW6
Selt,ENSMUSG00000075700,P62342
Erich6,ENSMUSG00000070471,D3Z6S9
Siah2,ENSMUSG00000036432,Q06986
4930593A02Rik,ENSMUSG00000097725,0
Clrn1,ENSMUSG00000043850,Q8K445
Gm43570,ENSMUSG00000105945,0
Med12l,ENSMUSG00000056476,Q8BQM9
P2ry14,ENSMUSG00000036381,Q9ESG6
P2ry13,ENSMUSG00000036362,Q9D8I2
Igsf10,ENSMUSG00000036334,Q3V1M1
Gm38186,ENSMUSG00000103668,0
Gm5538,ENSMUSG00000090527,W4VSP6
C130079G13Rik,ENSMUSG00000036951,Q8BUY2
Aadacl2,ENSMUSG00000091376,B2RWD2
Mbnl1,ENSMUSG00000027763,Q9JKP5
Gm37035,ENSMUSG00000102564,0
P2ry1,ENSMUSG00000027765,P49650
Rap2b,ENSMUSG00000036894,P61226
9330121J05Rik,ENSMUSG00000103502,Q8CC48
Arhgef26,ENSMUSG00000036885,D3YYY8
Dhx36,ENSMUSG00000027770,Q8VHK9
Mme,ENSMUSG00000027820,Q61391
Plch1,ENSMUSG00000036834,Q4KWH5
E130311K13Rik,ENSMUSG00000048581,Q8BN57
Slc33a1,ENSMUSG00000027822,Q99J27
Gm26850,ENSMUSG00000097724,0
Gmps,ENSMUSG00000027823,Q3THK7
Vmn2r2,ENSMUSG00000043897,L7N1Z7
Vmn2r4,ENSMUSG00000092049,A0A3B2WB57
Vmn2r5,ENSMUSG00000068999,K7N788
Vmn2r7,ENSMUSG00000062200,E9PYL5
Kcnab1,ENSMUSG00000027827,P63143
A330015K06Rik,ENSMUSG00000104093,0
A730090N16Rik,ENSMUSG00000090120,0
Ssr3,ENSMUSG00000027828,Q9DCF9
Tiparp,ENSMUSG00000034640,Q8C1B2
Lekr1,ENSMUSG00000074579,A0A571BF98
Gm37359,ENSMUSG00000103620,0
Ccnl1,ENSMUSG00000027829,Q52KE7
Gm37305,ENSMUSG00000103041,0
Veph1,ENSMUSG00000027831,A1A535
Ptx3,ENSMUSG00000027832,P48759
Shox2,ENSMUSG00000027833,P70390
Rsrc1,ENSMUSG00000034544,Q9DBU6
Mlf1,ENSMUSG00000048416,Q9QWV4
Gfm1,ENSMUSG00000027774,Q8K0D5
Lxn,ENSMUSG00000047557,P70202
Rarres1,ENSMUSG00000049404,F6ZIS7
Gm35299,ENSMUSG00000103718,0
4930402C01Rik,ENSMUSG00000104382,0
Mfsd1,ENSMUSG00000027775,Q9DC37
Iqcj,ENSMUSG00000051777,Q8BPW0
Schip1-1,ENSMUSG00000027777,P0DPB4
Il12a,ENSMUSG00000027776,P43431
4930535E02Rik,ENSMUSG00000102677,0
Gm35584,ENSMUSG00000102936,0
1110032F04Rik,ENSMUSG00000046999,E9Q0B3
Ift80,ENSMUSG00000027778,Q8K057
Smc4,ENSMUSG00000034349,Q8CG47
Trim59,ENSMUSG00000034317,Q922Y2
Kpna4,ENSMUSG00000027782,O35343
Gm1647,ENSMUSG00000094763,0
Ppm1l,ENSMUSG00000027784,Q8BHN0
B3galnt1,ENSMUSG00000043300,Q920V1
Nmd3,ENSMUSG00000027787,Q99L48
Sptssb,ENSMUSG00000043461,Q925E8
Gm6634,ENSMUSG00000097252,0
Sis,ENSMUSG00000027790,B5THE3
4930509J09Rik,ENSMUSG00000102362,0
Bche,ENSMUSG00000027792,Q03311
Gm20356,ENSMUSG00000104096,0
Zbbx,ENSMUSG00000034151,Q0P5X5
Serpini2,ENSMUSG00000034139,Q9JK88
Wdr49,ENSMUSG00000104301,A0A0N4SUK7
Pdcd10,ENSMUSG00000027835,Q8VE70
Serpini1,ENSMUSG00000027834,O35684
Golim4,ENSMUSG00000034109,Q8BXA1
Fstl5,ENSMUSG00000034098,Q8BFR2
Rapgef2,ENSMUSG00000062232,Q8CHG7
4921511C10Rik,ENSMUSG00000104585,0
6430573P05Rik,ENSMUSG00000102545,0
Gm17359,ENSMUSG00000091685,A0A0A6YW13
Fnip2,ENSMUSG00000061175,Q80TD3
4930589L23Rik,ENSMUSG00000068957,Q9D4N6
Ppid,ENSMUSG00000027804,Q9CR16
Etfdh,ENSMUSG00000027809,Q921G7
4930579G24Rik,ENSMUSG00000027811,Q3UUX7
Rxfp1,ENSMUSG00000034009,Q6R6I7
Tmem144,ENSMUSG00000027956,Q8VEH0
Gm36569,ENSMUSG00000102191,0
Fam198b,ENSMUSG00000027955,Q3UPI1
Gm37971,ENSMUSG00000102379,0
Gria2,ENSMUSG00000033981,P23819
Glrb,ENSMUSG00000028020,P48168
Pdgfc,ENSMUSG00000028019,Q8CI19
Gm16000,ENSMUSG00000085106,0
A830029E22Rik,ENSMUSG00000103695,0
Ctso,ENSMUSG00000028015,Q8BM88
Asic5,ENSMUSG00000028008,Q9R0Y1
Gucy1b3,ENSMUSG00000028005,O54865
Gucy1a3,ENSMUSG00000033910,Q9ERL9
Map9,ENSMUSG00000033900,Q3TRR0
Gm43348,ENSMUSG00000105034,0
Rbm46,ENSMUSG00000033882,P86049
Rbm46os,ENSMUSG00000086273,0
Lrat,ENSMUSG00000028003,Q9JI60
Fgg,ENSMUSG00000033860,Q8VCM7
Fga,ENSMUSG00000028001,E9PV24
Fgb,ENSMUSG00000033831,Q8K0E8
Plrg1,ENSMUSG00000027998,Q922V4
1700028M03Rik,ENSMUSG00000101334,0
Sfrp2,ENSMUSG00000027996,P97299
Gm26771,ENSMUSG00000097250,0
Tlr2,ENSMUSG00000027995,Q9QUN7
D930015E06Rik,ENSMUSG00000033767,Q3U3D7
Mnd1,ENSMUSG00000033752,Q8K396
Trim2,ENSMUSG00000027993,Q9ESN6
Gm6525,ENSMUSG00000104043,A0A0A6YW33
4930565D16Rik,ENSMUSG00000104004,0
Fhdc1,ENSMUSG00000041842,Q3ULZ2
Arfip1,ENSMUSG00000074513,G5E8V9
Gm37240,ENSMUSG00000102805,E9QAY5
Tigd4,ENSMUSG00000047819,Q8BUZ3
Tmem154,ENSMUSG00000056498,Q8C4Q9
Fbxw7,ENSMUSG00000028086,Q8VBV4
1700036G14Rik,ENSMUSG00000099995,0
Gm42812,ENSMUSG00000106422,0
Gatb,ENSMUSG00000028085,Q99JT1
